County,Ofc-TBJ,Ofc-Und,Ofc-Ovr,Ofc-Oth,Ofc-BC,RLA-TBJ,RLA-Und,RLA-Ovr,RLA-Oth,RLA-BC,RLA-InvW,RLA-ValW,Δ-TBJ,Δ-Und,Δ-Ovr,Δ-Oth,Δ-BC
ALL,4998482,18756,229,9217,5026684,5000585,13093,563,12069,5026310,9086,2983,2103,-5663,334,2852,-374
Gwinnett,413865,2174,25,394,416458,415507,799,82,1667,418055,1130,537,1642,-1375,57,1273,1597
Fulton,524659,1970,47,2101,528777,525293,1439,92,1211,528035,836,375,634,-531,45,-890,-742
Floyd,41648,211,0,24,41883,41052,72,5,162,41291,27,135,-596,-139,5,138,-592
DeKalb,370804,1302,2,1331,373439,371443,935,64,560,373002,473,87,639,-367,62,-771,-437
Cobb,393746,999,12,1794,396551,393445,1980,0,782,396207,463,319,-301,981,-12,-1012,-344
Fayette,71993,189,0,239,72421,72110,198,2,222,72532,193,29,117,9,2,-17,111
Clayton,112344,558,10,73,112985,111984,508,9,376,112877,316,60,-360,-50,-1,303,-108
Hall,90523,430,1,69,91023,90643,172,6,309,91130,309,0,120,-258,5,240,107
Thomas,21853,88,0,5,21946,21914,61,4,33,22012,25,8,61,-27,4,28,66
Walton,51095,191,0,8,51294,51040,93,2,99,51234,84,15,-55,-98,2,91,-60
Muscogee,80543,409,2,23,80977,80504,169,13,235,80921,217,18,-39,-240,11,212,-56
Spalding,30116,87,0,47,30250,30116,76,5,106,30303,76,30,0,-11,5,59,53
Bartow,50467,209,0,2,50678,50415,80,3,129,50627,107,22,-52,-129,3,127,-51
Appling,8341,26,0,0,8367,8391,23,0,0,8414,0,0,50,-3,0,0,47
Chatham,133420,696,18,76,134210,133476,323,17,438,134254,356,82,56,-373,-1,362,44
Dougherty,35311,185,4,3,35503,35348,98,8,92,35546,87,5,37,-87,4,89,43
Henry,122742,311,18,306,123377,122815,553,7,43,123418,0,43,73,242,-11,-263,41
Coffee,15214,40,0,23,15277,15214,0,0,23,15237,23,0,0,-40,0,0,-40
Whitfield,36746,83,0,107,36936,36786,82,2,105,36975,80,25,40,-1,2,-2,39
Liberty,21389,89,0,0,21478,21422,47,2,43,21514,42,1,33,-42,2,43,36
Forsyth,129305,258,4,378,129945,129295,253,4,361,129913,299,62,-10,-5,0,-17,-32
Bibb,70802,317,0,50,71169,70778,196,13,151,71138,99,52,-24,-121,13,101,-31
Paulding,85385,245,0,83,85713,85347,147,4,187,85685,144,43,-38,-98,4,104,-28
Newton,54239,239,0,29,54507,54252,114,16,147,54529,117,30,13,-125,16,118,22
Talbot,3522,20,0,2,3544,3522,24,0,20,3566,16,4,0,4,0,18,22
Pickens,17116,32,0,27,17175,17136,54,1,4,17195,0,4,20,22,1,-23,20
Polk,17399,47,0,2,17448,17377,34,2,15,17428,13,2,-22,-13,2,13,-20
Peach,12545,39,0,1,12585,12564,25,1,14,12604,14,0,19,-14,1,13,19
Pulaski,4059,11,4,7,4081,4084,10,2,4,4100,4,0,25,-1,-2,-3,19
Jones,14966,54,4,7,15031,14948,31,4,30,15013,24,6,-18,-23,0,23,-18
Walker,29354,140,0,20,29514,29337,62,0,97,29496,72,25,-17,-78,0,77,-18
Washington,9459,35,0,12,9506,9478,39,3,4,9524,2,2,19,4,3,-8,18
Wayne,12778,17,3,12,12810,12766,19,2,9,12796,6,3,-12,2,-1,-3,-14
Houston,74823,309,0,34,75166,74841,120,2,216,75179,182,34,18,-189,2,182,13
Sumter,12150,49,0,2,12201,12138,27,0,23,12188,21,2,-12,-22,0,21,-13
Hancock,4165,16,2,0,4183,4152,9,2,8,4171,0,8,-13,-7,0,8,-12
McDuffie,10455,53,0,1,10509,10452,30,0,16,10498,16,0,-3,-23,0,15,-11
Camden,23688,84,0,12,23784,23701,43,2,48,23794,36,12,13,-41,2,36,10
Cherokee,144830,401,0,308,145539,144827,318,7,377,145529,290,87,-3,-83,7,69,-10
Habersham,20432,72,1,11,20516,20425,30,2,50,20507,38,12,-7,-42,1,39,-9
Macon,4662,13,0,5,4680,4670,11,3,5,4689,5,0,8,-2,3,0,9
Rabun,9568,58,0,6,9632,9568,33,0,40,9641,33,7,0,-25,0,34,9
Bryan,21340,120,0,14,21474,21334,64,2,66,21466,41,25,-6,-56,2,52,-8
Calhoun,2194,8,0,2,2204,2187,9,0,1,2197,1,0,-7,1,0,-1,-7
Jefferson,7642,30,0,10,7682,7640,22,2,11,7675,10,1,-2,-8,2,1,-7
Monroe,15592,61,0,2,15655,15598,36,2,12,15648,11,1,6,-25,2,10,-7
Bulloch,30084,58,1,86,30229,30090,61,0,84,30235,65,19,6,3,-1,-2,6
Clarke,51333,365,0,75,51773,51330,155,8,274,51767,195,79,-3,-210,8,199,-6
Emanuel,9501,30,0,24,9555,9510,39,0,12,9561,10,2,9,9,0,-12,6
Jenkins,3455,6,0,0,3461,3455,0,0,0,3455,0,0,0,-6,0,0,-6
Long,5656,15,0,3,5674,5659,9,2,10,5680,8,2,3,-6,2,7,6
Crisp,8039,27,0,13,8079,8046,22,3,13,8084,9,4,7,-5,3,0,5
Irwin,4168,18,0,3,4189,4167,14,0,3,4184,3,0,-1,-4,0,0,-5
Richmond,87016,429,17,68,87530,87020,161,19,325,87525,258,67,4,-268,2,257,-5
Wilkinson,4770,14,0,8,4792,4765,14,0,8,4787,7,1,-5,0,0,0,-5
Dade,7434,32,0,13,7479,7434,14,1,26,7475,14,12,0,-18,1,13,-4
Grady,10707,31,3,0,10741,10704,30,2,1,10737,0,1,-3,-1,-1,1,-4
Lincoln,4650,12,0,5,4667,4642,14,2,5,4663,5,0,-8,2,2,0,-4
Miller,2835,14,0,4,2853,2833,15,1,0,2849,0,0,-2,1,1,-4,-4
Wilcox,3281,10,0,4,3295,3280,6,1,4,3291,4,0,-1,-4,1,0,-4
Ben Hill,6560,19,1,11,6591,6564,13,3,14,6594,14,0,4,-6,2,3,3
Decatur,11627,40,0,2,11669,11627,35,6,4,11672,0,4,0,-5,6,2,3
Douglas,69097,315,0,35,69447,69098,133,7,206,69444,173,33,1,-182,7,171,-3
Early,5187,29,0,1,5217,5188,20,1,5,5214,4,1,1,-9,1,4,-3
Fannin,14850,33,0,19,14902,14848,32,2,17,14899,12,5,-2,-1,2,-2,-3
Rockdale,44686,234,1,21,44942,44680,101,0,158,44939,134,24,-6,-133,-1,137,-3
Seminole,3884,16,1,0,3901,3888,11,0,5,3904,5,0,4,-5,-1,5,3
Butts,11771,49,0,7,11827,11768,35,0,22,11825,17,5,-3,-14,0,15,-2
Elbert,9171,42,0,5,9218,9173,28,0,15,9216,10,5,2,-14,0,10,-2
Franklin,10765,29,0,21,10815,10763,40,2,8,10813,6,2,-2,11,2,-13,-2
Glynn,41984,170,1,47,42202,41988,104,4,108,42204,104,4,4,-66,3,61,2
Johnson,4100,11,0,3,4114,4099,12,0,1,4112,1,0,-1,1,0,-2,-2
Marion,3624,21,0,1,3646,3624,14,0,6,3644,5,1,0,-7,0,5,-2
Morgan,11707,50,0,8,11765,11706,36,1,20,11763,15,5,-1,-14,1,12,-2
Toombs,10914,30,3,16,10963,10918,30,1,12,10961,10,2,4,0,-2,-4,-2
Brooks,7100,17,3,8,7128,7101,16,1,9,7127,9,0,1,-1,-2,1,-1
Burke,10684,73,1,0,10758,10683,55,0,19,10757,17,2,-1,-18,-1,19,-1
Clinch,2864,12,0,0,2876,2864,4,0,7,2875,6,1,0,-8,0,7,-1
Columbia,80579,339,10,45,80973,80586,131,9,248,80974,200,48,7,-208,-1,203,1
Crawford,6102,26,0,0,6128,6102,16,1,8,6127,8,0,0,-10,1,8,-1
Dodge,8070,17,1,10,8098,8071,15,1,10,8097,8,2,1,-2,0,0,-1
Effingham,31570,83,5,19,31677,31564,51,3,58,31676,49,9,-6,-32,-2,39,-1
Glascock,1566,5,0,0,1571,1565,6,0,1,1572,1,0,-1,1,0,1,1
Harris,19991,108,0,11,20110,19990,48,1,70,20109,59,11,-1,-60,1,59,-1
Lanier,3576,15,0,0,3591,3576,12,0,4,3592,4,0,0,-3,0,4,1
Laurens,22729,92,0,1,22822,22728,92,0,1,22821,0,1,-1,0,0,0,-1
Lee,16714,52,0,3,16769,16714,24,0,30,16768,25,5,0,-28,0,27,-1
McIntosh,6696,27,2,0,6725,6696,17,2,9,6724,9,0,0,-10,0,9,-1
Montgomery,3966,8,0,6,3980,3967,8,0,6,3981,5,1,1,0,0,0,1
Oglethorpe,8131,32,0,5,8168,8131,19,1,16,8167,11,5,0,-13,1,11,-1
Taylor,3839,12,0,8,3859,3842,18,0,0,3860,0,0,3,6,0,-8,1
Upson,12905,43,0,2,12950,12908,24,1,16,12949,15,1,3,-19,1,14,-1
White,14816,65,1,15,14897,14816,32,0,50,14898,35,15,0,-33,-1,35,1
Wilkes,5029,13,0,11,5053,5030,11,2,11,5054,10,1,1,-2,2,0,1
Atkinson,3155,15,0,2,3172,3155,13,2,2,3172,2,0,0,-2,2,0,0
Bacon,4668,12,0,0,4680,4668,10,0,2,4680,2,0,0,-2,0,2,0
Baker,1555,4,0,0,1559,1555,2,1,1,1559,1,0,0,-2,1,1,0
Baldwin,18251,90,0,12,18353,18252,50,1,50,18353,40,10,1,-40,1,38,0
Banks,8801,17,0,12,8830,8801,16,2,11,8830,7,4,0,-1,2,-1,0
Barrow,37921,54,0,96,38071,37921,55,0,95,38071,70,25,0,1,0,-1,0
Berrien,7743,22,0,1,7766,7743,12,0,11,7766,10,1,0,-10,0,10,0
Bleckley,5706,23,0,2,5731,5706,15,0,10,5731,8,2,0,-8,0,8,0
Brantley,7746,20,0,0,7766,7748,15,1,2,7766,0,2,2,-5,1,2,0
Candler,4431,9,0,4,4444,4432,8,0,4,4444,4,0,1,-1,0,0,0
Carroll,54474,180,3,32,54689,54474,167,3,45,54689,14,31,0,-13,0,13,0
Catoosa,32593,131,0,32,32756,32593,55,0,108,32756,76,32,0,-76,0,76,0
Charlton,4566,10,0,0,4576,4568,5,0,3,4576,3,0,2,-5,0,3,0
Chattahoochee,1582,3,1,8,1594,1582,2,0,10,1594,10,0,0,-1,-1,2,0
Chattooga,10050,25,0,29,10104,10050,24,0,30,10104,27,3,0,-1,0,1,0
Clay,1434,6,0,4,1444,1434,8,2,0,1444,0,0,0,2,2,-4,0
